,episode,speaker,speech,word_count
0,ep_1,TYRION, You should consider yourself lucky. At least your balls won’t freeze off.,12
1,ep_1,VARYS," You take great offense at dwarf jokes, but love telling eunuch jokes. Why is that?",15
2,ep_1,TYRION," Because I have balls, and you don't.",7
3,ep_1,JON, I warned you. Northerners don't much trust outsiders.,8
4,ep_1,JON, Look at you.,3
5,ep_1,JON, You're a man.,3
6,ep_1,BRAN, Almost.,1
7,ep_1,JON, Where's Arya?,2
8,ep_1,SANSA, Lurking somewhere.,2
9,ep_1,JON," Queen Daenerys of House Targaryen. My sister, Sansa Stark, the Lady of Winterfell.",13
10,ep_1,DAENERYS," Thank you for inviting us into your home, Lady Stark. The North is as beautiful as your brother claimed, as are you.",22
11,ep_1,SANSA," Winterfell is yours, Your Grace.",5
12,ep_1,BRAN, We don't have time for all this. The Night King has your dragon.,13
13,ep_1,BRAN," He's one of them now. The Wall has fallen, the dead march south.",13
14,ep_1,SANSA," As soon as we heard about the Wall, I called all our banners to retreat to Winterfell. Lord Umber when can we expect your people to arrive?",27
15,ep_1,UMBER," We need more horses and wagons, if it please my lady.",11
16,ep_1,UMBER, And my lord.,3
17,ep_1,UMBER, And my queen. Sorry.,4
18,ep_1,SANSA, You'll have as many as we can spare. Hurry back to Last Hearth and bring your people here.,18
19,ep_1,JON, We need to send ravens to the Night's Watch as well. There's no sense in manning the castles anymore. We make our stand here.,24
20,ep_1,LYANNA, But you’re not. Are you? You left Winterfell a king and came back a- I’m not sure what you are now.,21
21,ep_1,LYANNA, A lord? Nothing at all?,5
22,ep_1,JON, It's not important.,3
23,ep_1,LYANNA, Not important? We named you King in the North.,9
24,ep_1,MAN, King of the North!,4
25,ep_1,JON," You did, my lady. It was the honor of my life. I’ll always be grateful for your faith. But when I left Winterfell, I told you we need allies or we will die. I have brought those allies home to fight alongside us. I had a choice, keep my crown or protect the North. I chose the North.",58
